1758932927.6118362, 0.1, 0.0, 0
1758932928.61118, 1.1, 67.17, 5
1758932929.6626792, 2.1, 16688.81, 5
1758932930.6212273, 3.1, 35715.39, 5
1758932931.6231167, 4.1, 41295.61, 5
1758932932.6785357, 5.1, 37722.02, 5
1758932933.6785958, 6.1, 33995.03, 8
1758932934.656419, 7.1, 36373.68, 8
1758932935.632544, 8.1, 36658.85, 8
1758932936.6309967, 9.1, 33637.1, 8
1758932937.7218719, 10.1, 28526.38, 8
1758932938.6419847, 11.1, 32778.77, 6
1758932939.7010562, 12.1, 31375.27, 6
1758932940.627156, 13.1, 31612.76, 6
1758932941.6747403, 14.1, 34758.66, 6
1758932942.6302578, 15.1, 35817.57, 6
1758932943.6662118, 16.1, 28364.61, 6
1758932944.6691878, 17.1, 32688.96, 6
1758932945.6601014, 18.1, 31791.73, 6
1758932946.6618285, 19.1, 31017.09, 6
1758932947.6377273, 20.1, 32784.26, 6
1758932948.6548355, 21.1, 31913.41, 7
1758932949.6673882, 22.1, 30645.3, 7
1758932950.6562994, 23.1, 29701.59, 7
1758932951.6458685, 24.1, 35373.32, 7
1758932952.6422322, 25.1, 38782.26, 7
1758932953.6417804, 26.1, 37770.85, 6
1758932954.6873329, 27.1, 30510.07, 6
1758932955.6951628, 28.1, 29343.46, 6
1758932956.6486893, 29.1, 29712.53, 6
1758932957.6478128, 30.1, 29482.64, 6
1758932958.6492789, 31.1, 38815.65, 7
1758932959.68383, 32.1, 36334.6, 7
1758932960.6832983, 33.1, 37115.55, 7
1758932961.6672962, 34.1, 34390.72, 7
1758932962.6556346, 35.1, 27096.8, 7
1758932963.655516, 36.1, 31194.49, 7
1758932964.6768675, 37.1, 31608.29, 7
1758932965.6824944, 38.1, 25843.89, 7
1758932966.7015517, 39.1, 32599.11, 7
1758932967.6774075, 40.1, 38368.15, 7
1758932968.7105265, 41.1, 33928.41, 7
1758932969.7070189, 42.1, 30058.3, 7
1758932970.6725526, 43.1, 30706.94, 7
1758932971.664668, 44.1, 28109.67, 7
1758932972.7434125, 45.1, 32819.39, 7
1758932973.6866055, 46.1, 32747.19, 7
1758932974.6695304, 47.1, 36908.66, 7
1758932975.6643028, 48.1, 33006.15, 7
1758932976.6936328, 49.1, 31853.9, 7
1758932977.7327802, 50.1, 34035.37, 7
1758932978.7531812, 51.1, 35528.86, 7
1758932979.6715987, 52.1, 35216.95, 7
1758932980.6699824, 53.1, 35846.02, 7
